miRNA	SRR5144155	SRR5144156	SRR5144157	SRR5144158	SRR5144159	SRR5144160	SRR5144161	SRR5144162	SRR5144163	SRR5144164	SRR5144165	SRR5144166	SRR5144167	SRR5144168	SRR5144169	SRR5144170	SRR5144171	SRR5144172	SRR5144173	SRR5144174	SRR5144175	SRR5144176	SRR5144177
mmu-miR-219a-2-3p	2871	4131	3834	2212	2018	3344	2320	3246	2099	1798	2257	1031	3896	3974	5146	5285	6089	1161	737	549	738	717	268
mmu-miR-219a-5p	878	1162	941	682	668	1059	464	939	270	546	710	72	773	938	1088	1387	1337	181	165	134	181	239	46
mmu-miR-219b-3p	2	1	2	1	2	5	1	2	2	0	1	0	4	3	1	6	4	2	0	0	3	1	0
mmu-miR-219b-5p	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
mmu-miR-219c-3p	1	3	3	2	2	2	0	3	2	2	2	0	6	4	5	3	3	6	2	0	5	2	0
mmu-miR-219c-5p	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	2	0	0	0
mmu-miR-21a-3p	135	196	154	126	114	195	86	189	93	85	152	26	157	283	239	284	315	99	121	73	95	103	28
mmu-miR-21a-5p	14613	20142	19534	13605	11012	17217	10029	14920	11378	9223	10553	4261	17202	21232	21147	26260	23619	16173	12251	7227	9794	11778	3410
mmu-miR-21b	2	1	2	3	2	6	3	1	3	1	1	2	0	4	4	6	4	1	4	2	4	0	0
mmu-miR-21c	1	1	2	3	2	6	3	1	3	1	0	2	0	4	3	6	3	1	4	2	3	0	0
mmu-miR-22-3p	123742	177185	153827	121474	97585	159084	222879	303270	238280	185970	229960	90923	336978	387513	383510	476774	473425	188027	104076	67063	102122	125433	34829
mmu-miR-22-5p	155	227	171	167	105	219	335	400	245	255	289	122	445	565	531	690	455	288	113	89	120	199	29
mmu-miR-221-3p	1441	1991	2011	1622	1217	1933	5907	7720	6131	5489	6768	3050	10143	13503	11350	16997	13691	5031	3187	1789	2709	3158	1259
mmu-miR-221-5p	78	88	105	94	61	72	336	346	302	275	266	105	415	639	423	796	510	185	91	61	103	119	38
mmu-miR-222-3p	1659	2023	1842	1551	1336	1804	6044	8416	6727	5366	6919	3735	9822	14377	9789	18082	16939	3858	2379	1404	2188	2564	1178
mmu-miR-222-5p	26	27	20	20	25	27	107	151	81	82	103	49	169	214	180	238	265	76	47	22	37	47	20
mmu-miR-223-3p	51	54	55	50	21	73	55	48	33	26	33	14	33	42	106	91	36	85	52	21	56	40	11
mmu-miR-223-5p	2	3	2	0	0	1	1	2	0	1	0	2	2	2	4	1	0	0	1	1	2	1	1
mmu-miR-224-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
mmu-miR-224-5p	1	2	1	0	3	2	5	2	2	1	2	1	2	5	3	3	4	94	61	19	50	50	11
mmu-miR-23a-3p	774	984	862	725	660	928	1206	1616	1101	1027	1335	609	1243	1623	1911	2226	1527	1143	683	427	616	773	220
mmu-miR-23a-5p	0	0	0	1	0	2	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
mmu-miR-23b-3p	2466	3521	3168	2630	2168	3315	2652	3826	2818	2477	3069	1356	3964	5372	5308	6926	4605	3396	2194	1235	1875	2267	742
mmu-miR-23b-5p	0	1	2	1	0	1	0	0	0	1	2	0	1	2	0	3	1	1	1	0	1	0	0
mmu-miR-24-1-5p	122	156	186	147	110	177	45	80	41	53	66	17	117	189	180	245	151	114	38	29	38	77	22
mmu-miR-24-2-5p	450	594	523	448	381	654	620	804	540	481	659	224	661	886	995	1245	928	496	309	204	335	379	119
mmu-miR-24-3p	7882	10550	10388	8280	5870	9832	6104	9016	5298	6308	6414	3134	10294	13316	12564	16520	9796	8154	5660	3616	4476	5458	1556
mmu-miR-25-3p	3737	4891	4582	3575	3114	4742	2543	3623	2816	2106	2425	1399	4093	5120	4565	6716	5561	9683	6135	4070	5799	6058	1916
mmu-miR-25-5p	11	9	12	14	6	12	6	3	5	6	8	5	14	18	7	19	21	13	12	1	9	12	6
mmu-miR-26a-1-3p	0	0	5	1	1	2	2	9	3	2	5	0	6	3	7	8	2	5	2	3	0	5	0
mmu-miR-26a-2-3p	36	55	76	47	35	47	25	27	19	15	24	7	26	39	41	53	36	45	20	17	26	30	4
mmu-miR-26a-5p	750163	1195023	1090845	865483	646950	1158561	414243	561467	431869	345388	408136	173083	658658	793738	705603	991952	933673	890732	513036	334183	475199	573751	159317
mmu-miR-26b-3p	165	212	160	157	135	191	57	66	57	27	50	33	124	160	163	214	164	108	45	34	31	74	28
mmu-miR-26b-5p	19455	28934	25003	20410	16242	27106	9999	12973	9365	8426	9073	3509	14294	16323	15614	24038	15507	22671	15834	8165	11909	15364	3061
mmu-miR-27a-3p	2068	2595	2356	1807	1645	2566	3548	4378	2778	2404	3105	1442	2995	4003	4275	5130	4000	3431	2131	1341	1884	2196	587
mmu-miR-27a-5p	12	8	11	8	3	7	13	17	15	19	8	7	11	24	25	14	7	14	6	4	8	10	5
mmu-miR-27b-3p	76070	106810	114221	74479	60328	106839	98818	134407	93998	86442	94586	50028	138598	183506	171660	223229	199597	122206	71011	52018	73730	77859	24204
mmu-miR-27b-5p	110	143	125	110	101	149	147	201	160	162	147	76	288	336	245	490	417	176	96	81	118	105	43
mmu-miR-2861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-28a-3p	165	267	227	176	147	218	80	91	57	44	59	51	138	235	136	303	210	140	100	55	65	95	25
mmu-miR-28a-5p	1317	1880	1675	1315	1056	1879	362	438	306	264	349	167	889	1025	921	1277	1415	478	316	178	333	363	124
mmu-miR-28b	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0
mmu-miR-28c	1327	1893	1696	1336	1067	1895	365	438	301	263	350	162	900	1022	925	1278	1414	477	316	178	330	365	123
mmu-miR-290a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-290a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-290b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-290b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-291a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-291a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-291b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-291b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-292a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mmu-miR-292a-5p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-292b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-292b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-293-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-293-5p	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-294-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
mmu-miR-294-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-295-3p	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
mmu-miR-295-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-296-3p	18	14	10	8	10	15	35	29	34	11	31	12	32	44	27	59	44	48	31	18	22	28	7
mmu-miR-296-5p	165	202	143	129	124	150	204	272	172	155	241	97	156	280	428	525	156	323	155	59	131	226	38
mmu-miR-297a-3p	36	52	60	32	44	40	16	20	16	12	24	12	8	48	44	60	40	28	24	4	16	36	8
mmu-miR-297a-5p	8	7	19	12	0	11	16	8	8	8	4	8	8	26	15	16	23	24	4	8	8	16	4
mmu-miR-297b-3p	36	52	60	32	44	40	16	20	16	12	24	12	8	48	44	60	40	28	24	4	16	36	8
mmu-miR-297b-5p	8	5	2	4	2	6	7	5	4	4	1	2	2	3	9	6	4	6	0	0	2	2	1
mmu-miR-297c-3p	36	52	60	32	44	40	16	20	16	12	24	12	8	48	44	60	40	28	24	4	16	36	8
mmu-miR-297c-5p	1	1	3	3	2	1	2	1	0	1	0	0	2	6	4	7	2	0	2	2	2	1	0
mmu-miR-298-3p	2	3	3	2	4	6	2	3	2	3	2	1	7	13	6	10	12	11	0	2	2	4	1
mmu-miR-298-5p	947	647	622	567	460	635	3121	2562	2293	1336	2008	1047	2328	2448	2473	3804	3818	2145	1151	902	1321	1519	464
mmu-miR-299a-3p	264	343	309	231	198	296	203	262	153	151	166	61	280	331	311	490	362	105	59	35	57	62	28
mmu-miR-299a-5p	85	86	82	99	56	79	54	91	43	42	66	45	20	60	106	116	45	34	11	6	16	8	3
mmu-miR-299b-3p	261	342	310	230	198	295	205	262	155	150	165	62	275	332	312	487	361	105	59	34	58	62	28
mmu-miR-299b-5p	85	86	82	99	56	79	54	91	43	42	66	45	20	59	106	116	45	34	11	6	17	8	3
mmu-miR-29a-3p	25999	34584	28685	28612	19171	32148	41175	53225	42362	35093	41424	15197	50075	66913	62529	81980	64421	55891	28463	16387	28172	34312	9135
mmu-miR-29a-5p	197	236	157	224	156	224	209	260	162	143	207	52	372	429	452	607	397	259	113	61	102	223	48
mmu-miR-29b-1-5p	8	13	9	12	4	11	15	12	14	9	9	3	15	28	30	29	27	15	8	5	8	16	3
mmu-miR-29b-2-5p	48	56	48	35	35	53	52	76	77	50	69	25	93	143	110	156	90	69	34	24	21	40	11
mmu-miR-29b-3p	1959	2972	2214	2035	1534	2409	4230	6327	2297	4095	5418	601	4157	8930	6394	12501	6799	3106	3189	1424	2326	3597	512
mmu-miR-29c-3p	5034	7117	4999	5632	3783	6393	7226	8494	6183	5486	7178	1705	8751	11517	10761	15011	10821	6543	3711	2044	3329	5121	1016
mmu-miR-29c-5p	220	250	220	233	141	206	205	179	160	137	167	70	240	365	396	447	281	219	90	55	90	125	27
mmu-miR-300-3p	18413	23408	24874	19560	13804	23487	25259	32015	24974	20488	25320	10110	27724	37539	38119	44735	38376	17446	8892	6360	9443	10999	3408
mmu-miR-300-5p	23	44	52	41	25	37	32	55	44	36	40	7	57	87	77	98	50	31	12	8	11	22	4
mmu-miR-301a-3p	7364	9460	9341	7295	5803	8540	5512	6658	5502	4439	5604	1446	7790	10129	9999	12708	10819	8303	5437	3675	5137	6658	1816
mmu-miR-301a-5p	9	14	14	10	12	15	8	8	7	4	9	2	11	9	21	27	11	21	10	8	8	18	4
mmu-miR-301b-3p	41	34	34	32	20	20	103	143	129	78	110	38	67	114	101	142	78	248	156	110	156	176	55
mmu-miR-301b-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	1	1	0
mmu-miR-302a-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-302a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-302b-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
mmu-miR-302b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-302c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-302c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-302d-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
mmu-miR-302d-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3057-3p	4	4	1	2	1	3	2	3	1	1	0	0	0	3	2	3	0	2	1	1	0	1	0
mmu-miR-3057-5p	135	134	138	72	77	129	129	140	105	94	113	58	77	149	175	295	213	136	59	44	85	86	9
mmu-miR-3058-3p	1	1	0	1	1	2	0	2	1	1	1	0	1	4	2	2	2	1	1	1	0	2	0
mmu-miR-3058-5p	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	2	0	0	0	1	0	0
mmu-miR-3059-3p	0	0	0	0	1	0	2	0	3	5	1	1	1	3	1	9	6	3	3	0	0	3	1
mmu-miR-3059-5p	165	117	139	134	86	101	431	718	511	427	645	251	945	1197	1145	1951	1255	1385	610	457	781	841	308
mmu-miR-3060-3p	9	14	15	8	5	15	17	21	15	16	21	11	27	47	26	33	43	31	15	11	13	13	7
mmu-miR-3060-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3061-3p	42	58	64	62	30	63	70	111	71	59	78	47	107	123	99	146	197	145	88	74	107	71	31
mmu-miR-3061-5p	17	21	14	12	21	13	37	33	29	19	31	8	25	31	27	49	31	66	32	14	25	38	7
mmu-miR-3062-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3062-5p	0	0	1	0	0	2	0	0	0	0	0	0	1	1	0	0	3	1	0	0	0	2	0
mmu-miR-3063-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3063-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3064-3p	6	2	3	6	3	5	4	2	1	1	3	1	0	2	3	5	0	2	1	0	5	3	0
mmu-miR-3064-5p	3	1	9	2	1	4	2	2	1	2	4	0	3	3	7	1	5	6	0	1	6	4	0
mmu-miR-3065-3p	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mmu-miR-3065-5p	0	0	2	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
mmu-miR-3066-3p	0	2	0	0	2	2	0	0	0	0	0	0	1	0	2	2	1	1	1	1	0	1	1
mmu-miR-3066-5p	10	11	7	4	8	10	2	8	4	7	7	5	8	15	14	19	14	3	4	2	6	7	3
mmu-miR-3067-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3067-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
mmu-miR-3068-3p	299	343	379	247	198	336	454	506	399	392	423	203	737	974	888	1148	1181	547	280	205	334	330	86
mmu-miR-3068-5p	67	94	83	65	55	64	76	96	68	64	76	25	87	189	173	224	128	57	48	18	30	46	8
mmu-miR-3069-3p	18	21	16	18	6	17	15	27	19	16	17	11	36	37	36	69	41	13	5	6	6	7	5
mmu-miR-3069-5p	18	26	16	10	11	15	14	13	15	7	9	5	23	37	42	48	33	5	2	0	1	4	1
mmu-miR-3070-2-3p	0	0	0	0	1	0	2	3	2	0	0	0	1	0	0	2	0	0	1	0	0	0	0
mmu-miR-3070-3p	0	2	0	1	1	0	2	2	1	0	0	0	3	1	1	1	2	0	1	1	1	0	0
mmu-miR-3070-5p	0	0	2	0	0	0	2	0	2	2	2	0	2	6	6	4	4	6	0	0	0	2	2
mmu-miR-3071-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3071-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3072-3p	31	28	28	22	18	26	29	29	12	14	27	11	33	53	58	80	39	11	8	4	7	20	3
mmu-miR-3072-5p	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0
mmu-miR-3073a-3p	0	1	0	0	1	0	0	1	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0
mmu-miR-3073a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
mmu-miR-3073b-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
mmu-miR-3073b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
mmu-miR-3074-1-3p	12	16	8	9	14	13	5	3	2	4	2	2	3	2	7	14	8	16	13	5	13	7	6
mmu-miR-3074-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3074-5p	18	56	50	30	32	28	10	14	12	12	10	8	16	20	10	36	22	54	26	16	36	29	8
mmu-miR-3075-3p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3075-5p	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0
mmu-miR-3076-3p	10	13	8	5	0	10	6	6	5	8	8	4	15	13	10	16	11	7	7	3	4	6	6
mmu-miR-3076-5p	0	1	2	2	1	2	1	0	2	0	0	1	1	2	4	1	0	1	0	0	2	0	0
mmu-miR-3077-3p	6	7	5	4	5	4	1	4	1	3	5	0	6	8	6	7	5	2	1	2	1	4	0
mmu-miR-3077-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mmu-miR-3078-3p	2	0	3	1	1	1	0	0	0	0	1	0	2	1	2	4	0	0	1	0	0	1	0
mmu-miR-3078-5p	154	203	242	168	139	233	83	130	97	86	95	53	173	193	195	245	271	75	33	34	40	46	17
mmu-miR-3079-3p	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3079-5p	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
mmu-miR-3080-3p	0	0	0	0	0	0	0	2	2	0	1	0	2	5	4	1	2	5	1	1	6	5	1
mmu-miR-3080-5p	0	2	0	0	0	0	0	1	1	3	1	0	2	2	3	4	3	7	1	0	2	3	1
mmu-miR-3081-3p	49	59	66	50	42	72	10	14	4	16	14	3	7	21	13	17	15	2	6	2	3	5	2
mmu-miR-3081-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3082-3p	121	167	183	125	102	175	73	106	81	75	83	49	139	151	150	181	152	103	60	55	65	60	32
mmu-miR-3082-5p	3	1	2	0	2	1	0	4	0	1	1	0	0	2	0	0	2	1	0	1	2	0	0
mmu-miR-3083-3p	0	2	1	0	0	0	0	6	5	0	3	0	4	14	9	16	11	3	4	3	2	4	0
mmu-miR-3083-5p	8	6	2	4	1	8	53	56	34	45	37	14	49	77	72	113	81	50	22	13	26	35	10
mmu-miR-3083b-3p	0	0	0	0	0	0	7	7	7	8	10	4	8	14	10	24	16	5	1	1	0	4	2
mmu-miR-3083b-5p	0	0	0	0	0	0	8	5	9	10	6	3	17	17	5	19	17	11	3	2	5	3	2
mmu-miR-3084-3p	164	208	250	250	116	234	38	118	80	34	90	46	116	198	258	308	208	144	50	44	56	80	34
mmu-miR-3084-5p	8	16	10	8	18	8	16	4	10	18	20	14	22	28	14	22	16	10	14	6	10	2	0
mmu-miR-3085-3p	56	58	32	56	48	58	297	293	230	158	313	164	828	1149	1072	1598	837	447	120	107	135	300	110
mmu-miR-3085-5p	0	0	0	1	0	0	1	2	1	0	2	1	5	5	5	9	2	1	2	0	1	0	1
mmu-miR-3086-3p	3	7	3	2	2	3	3	2	5	6	4	1	0	6	7	11	2	9	6	2	6	6	0
mmu-miR-3086-5p	124	145	106	90	86	106	141	157	129	100	111	85	158	204	143	243	185	93	66	42	72	57	17
mmu-miR-3087-3p	29	43	28	36	32	32	15	17	10	12	8	8	12	16	28	18	20	19	10	9	12	9	1
mmu-miR-3087-5p	2	2	1	3	1	5	0	5	2	0	1	0	1	2	0	3	1	1	0	0	0	0	1
mmu-miR-3088-3p	0	0	0	0	0	0	1	1	2	0	1	1	1	2	4	1	0	12	1	3	2	5	2
mmu-miR-3088-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3089-3p	1	4	4	2	4	5	1	3	6	2	1	3	4	2	6	2	5	4	3	0	6	4	2
mmu-miR-3089-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
mmu-miR-3090-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3090-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3091-3p	0	0	1	1	0	1	1	0	0	0	0	0	2	2	3	4	0	3	2	0	1	1	0
mmu-miR-3091-5p	0	0	0	1	0	0	0	1	1	0	0	0	0	2	0	0	0	1	2	0	0	2	0
mmu-miR-3092-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
mmu-miR-3092-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3093-3p	4	5	5	4	3	7	7	4	2	2	5	1	4	7	6	13	13	4	1	0	6	1	0
mmu-miR-3093-5p	35	50	50	42	47	44	35	46	40	24	26	21	52	59	61	81	62	52	26	19	22	29	5
mmu-miR-3094-3p	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0
mmu-miR-3094-5p	0	1	1	0	1	0	0	0	1	0	0	0	5	1	1	2	0	0	0	0	0	1	0
mmu-miR-3095-3p	1	0	0	0	1	1	1	0	0	0	1	0	1	3	1	2	1	0	1	0	0	0	1
mmu-miR-3095-5p	0	0	0	0	0	0	1	1	2	1	0	0	1	1	1	1	2	1	2	1	1	1	0
mmu-miR-3097-3p	1	0	0	0	1	0	1	1	2	0	0	0	1	5	4	3	0	2	0	0	2	1	0
mmu-miR-3097-5p	0	1	1	0	0	0	0	0	0	0	0	0	4	2	1	1	2	1	0	1	1	3	0
mmu-miR-3098-3p	1	2	1	4	1	6	1	3	2	1	1	2	1	1	3	6	4	5	1	0	4	1	1
mmu-miR-3098-5p	4	4	7	1	4	3	6	4	3	2	4	0	2	7	8	10	5	4	2	2	1	6	0
mmu-miR-3099-3p	362	344	388	268	230	441	573	566	524	369	481	250	505	650	558	843	739	1028	616	317	532	654	228
mmu-miR-3099-5p	2	0	0	0	1	0	1	0	1	1	1	0	0	1	0	2	0	2	0	1	0	0	0
mmu-miR-30a-3p	5022	6941	6021	4937	4420	6299	2321	3817	2726	2243	2780	1030	3953	4199	3523	6382	4367	5213	3295	1982	3021	3280	1077
mmu-miR-30a-5p	300662	434485	434190	303564	244659	393379	161422	212112	148475	153612	153226	56300	183115	251075	244399	344962	243162	275174	165127	111051	160650	181438	48326
mmu-miR-30b-3p	99	146	119	86	90	108	37	43	58	29	33	13	68	63	46	71	57	68	44	25	30	39	11
mmu-miR-30b-5p	27419	41355	32744	30299	24063	36812	10208	11784	9086	5842	10882	3587	13117	17281	18416	23537	15638	21496	8844	5119	6125	15801	3472
mmu-miR-30c-1-3p	242	303	229	193	178	240	174	226	209	151	156	95	234	212	238	328	314	320	203	145	176	237	63
mmu-miR-30c-2-3p	731	1081	857	664	571	938	387	506	322	320	375	142	540	706	534	1048	894	677	439	233	392	407	116
mmu-miR-30c-5p	101142	129398	103031	105425	77316	116329	72366	85740	74272	50144	76222	30636	96190	109698	110883	153585	114160	118559	49177	32740	42527	79036	21219
mmu-miR-30d-3p	1272	1747	1832	1246	1056	1622	494	709	435	474	516	222	609	895	822	1095	975	1159	688	454	611	733	250
mmu-miR-30d-5p	110236	152386	160392	114908	89611	147169	63789	87757	60748	61003	65852	27248	63090	78779	81275	104399	88118	121986	72476	46007	65642	78455	22307
mmu-miR-30e-3p	3978	5565	4343	3693	3471	4996	2872	4491	3151	2672	3375	1297	5599	5906	4867	9106	6027	7583	4530	2954	4464	4797	1547
mmu-miR-30e-5p	60903	86297	84963	60488	46217	77612	63189	80418	50786	58048	61300	18287	64022	83289	86929	108344	86438	101536	65137	40158	57013	75650	19194
mmu-miR-30f	23	21	23	21	21	22	6	9	9	5	4	3	9	4	3	16	15	5	3	5	4	2	3
mmu-miR-31-3p	4	8	5	6	8	9	31	46	31	28	26	11	22	34	56	42	17	36	12	7	10	21	2
mmu-miR-31-5p	185	175	157	151	118	178	1225	1449	1109	1019	1126	613	837	1104	1112	1751	1054	787	467	268	434	506	142
mmu-miR-3100-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3100-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
mmu-miR-3101-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0
mmu-miR-3101-5p	2	1	0	1	0	0	0	0	1	0	0	0	1	1	2	1	3	3	0	1	0	1	0
mmu-miR-3102-3p	177	196	180	110	109	187	208	261	164	107	185	85	314	503	447	657	286	303	102	64	92	169	49
mmu-miR-3102-3p.2-3p	67	122	97	76	80	122	34	109	77	22	93	36	168	225	194	324	223	152	73	54	72	122	49
mmu-miR-3102-5p	0	1	0	0	1	0	1	1	0	1	3	1	1	3	0	2	1	2	1	1	1	2	0
mmu-miR-3102-5p.2-5p	6	6	5	6	9	10	6	13	6	4	6	4	17	35	22	28	22	16	9	7	5	10	3
mmu-miR-3103-3p	11	15	17	9	9	22	7	9	7	4	9	4	13	6	14	21	17	19	5	6	3	9	3
mmu-miR-3103-5p	1	2	0	2	3	2	2	2	0	3	1	1	3	1	2	2	3	0	1	0	2	0	0
mmu-miR-3104-3p	2	3	3	3	2	2	1	3	2	3	7	1	1	2	2	4	2	2	1	1	1	1	1
mmu-miR-3104-5p	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
mmu-miR-3105-3p	4	7	4	7	2	4	1	5	2	2	5	0	5	2	7	4	3	7	4	5	6	6	2
mmu-miR-3105-5p	0	0	2	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
mmu-miR-3106-3p	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3106-5p	0	1	0	0	0	1	5	6	4	4	6	1	3	9	8	13	9	2	1	1	1	1	0
mmu-miR-3108-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3108-5p	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	2	2	1	2	2	0
mmu-miR-3109-3p	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
mmu-miR-3109-5p	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
mmu-miR-3110-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3110-5p	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	2	0	0	0	1	0
mmu-miR-3112-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
